Index Name,Morningstar Wide Moat Focus TR USD
Date,30/06/2022
,
SecurityName,Weight(%)
Kellogg Co,3.1460
Veeva Systems Inc A,2.8990
Gilead Sciences Inc,2.8915
Biogen Inc,2.7502
Western Union Co,2.6470
Ecolab Inc,2.6439
Polaris Inc,2.5835
Microsoft Corp,2.5679
Masco Corp,2.5438
3M Co,2.5152
BlackRock Inc,2.5036
Zimmer Biomet Holdings Inc,2.5002
ServiceNow Inc.,2.4969
Medtronic plc,2.4832
Intel Corp,2.4670
Alphabet Inc A,2.4501
Equifax Inc,2.4155
Emerson Electric Co,2.4063
Boeing Co,2.3920
Tyler Technologies Inc,2.3746
Adobe Inc.,2.3696
Wells Fargo & Co,2.3434
Guidewire Software,2.3190
Lam Research Corp,2.3161
"Salesforce, Inc.",2.2920
Teradyne Inc,2.2727
"Meta Platforms, Inc. Class A",2.2131
Amazon.com Inc,2.1832
"Etsy, Inc.",1.8784
Mercadolibre inc,1.8472
Merck & Co Inc,1.7189
Campbell Soup Co,1.6453
Philip Morris International,1.5921
Constellation Brands Inc A,1.5265
Blackbaud Inc,1.4639
Costar Group Inc,1.3823
Charles Schwab Corp,1.3128
KLA Corporation,1.3097
TransUnion,1.3002
Intercontinental Exchange Inc,1.2669
Rockwell Automation Inc,1.2668
Comcast Corp A,1.2510
Honeywell Intl Inc,1.2203
State Street Corp,1.2195
Berkshire Hathaway B,1.2077
Walt Disney Co,1.2011
Workday Inc. A,1.1911
T Rowe Price Group Inc,1.1694
Microchip Technology Inc,1.1369
Compass Minerals Intl,0.9056
